name,city,canton,language,big_museum,single_exh_f,single_exh_m,group_exh_f,group_exh_m,visitors_lastyear,female_artists_all,male_artists_all,single_exhibitions_all,group_exhibitions_all,per_single_exh_f,per_single_exh_m,per_group_exh_f,per_group_exh_m
Musée d'art de Pully,Pully,VD,F,NA,6,14,40,170,NA,46,184,20,210,0.3,0.7,0.19047619047619047,0.8095238095238095
Fondation Beyeler,Riehen,BS,D,1,8,32,NA,NA,489602,NA,NA,40,NA,0.2,0.8,NA,NA
Château de Chillon,Veytaux/Montreux,VD,F,1,2,6,0,13,402847,2,19,8,13,0.25,0.75,0,1
Kunstmuseum Basel,Basel,BS,D,1,12,119,NA,NA,334654,NA,NA,131,NA,0.0916030534351145,0.9083969465648855,NA,NA
Kunsthaus Zürich,Zürich,ZH,D,1,8,46,NA,NA,231102,NA,NA,54,NA,0.14814814814814814,0.8518518518518519,NA,NA
Musée d'art et d'histoire,Genève,GE,F,1,0,5,11,42,139491,11,47,5,53,0,1,0.20754716981132076,0.7924528301886793
Zentrum Paul Klee,Bern,BE,D,1,2,34,126,779,92294,128,813,36,905,0.05555555555555555,0.9444444444444444,0.13922651933701657,0.8607734806629834
Kunstmuseum Bern,Bern,BE,D,1,11,43,276,1612,89070,287,1655,54,1888,0.2037037037037037,0.7962962962962963,0.1461864406779661,0.8538135593220338
Maison Tavel,Genève,GE,F,NA,0,5,2,30,86798,2,35,5,32,0,1,0.0625,0.9375
Aargauer Kunsthaus,Aarau,AG,D,NA,33,45,478,1157,56899,511,1202,78,1635,0.4230769230769231,0.5769230769230769,0.2923547400611621,0.7076452599388379
Antikenmuseum Basel und Sammlung Ludwig,Basel,BS,D,NA,NA,NA,6,29,53408,NA,NA,NA,35,NA,NA,0.17142857142857143,0.8285714285714286
Kunstmuseum Luzern,Luzern,LU,D,NA,22,45,377,896,49373,399,941,67,1273,0.3283582089552239,0.6716417910447762,0.29615082482325217,0.7038491751767478
Musée de l'Elysée,Lausanne,VD,F,NA,3,31,NA,NA,46148,NA,NA,34,NA,0.08823529411764706,0.9117647058823529,NA,NA
